post_id,post_title,_search_title,post_status,post_tags,post_category,default_category,featured,featured_image,submit_ip,overall_rating,rating_count,street,street2,city,region,country,zip,latitude,longitude,mapview,mapzoom,siren,raison_sociale,statut_juridique,sdsei,pole_territorial,utd,nb_adherents,capital_social,post_dummy,phone,email,website,facebook
6132,GROUPEMENT PASTORAL D'OKABE,groupement pastoral dokabe,publish,,,,"0",,127.0.0.1,"0","0",,,AINCILLE,Nouvelle-Aquitaine,France,64220,43.2971690956074,-1.3294499636991084,,,884026196,GROUPEMENT PASTORAL D'OKABE,ASSOCIATIONS,Pays Basque intérieur,GARAZI BAIGORRY,UTD Basse Navarre et Soule,,,"0",,,,
6133,GROUP. EMPL. ARTZAINEN ARTEAN*,group. empl. artzainen artean*,publish,,,,"0",,127.0.0.1,"0","0",,,AINHARP,Nouvelle-Aquitaine,France,64130,43.40001082696522,-1.7251892664997137,,,420897878,GROUP. EMPL. ARTZAINEN ARTEAN*,ASSOCIATIONS,Pays Basque intérieur,SOULE XIBEROA,UTD Basse Navarre et Soule,,,"0",,,,
6134,ASS ELEVEURS BREBIS LAITIERES,ass eleveurs brebis laitieres,publish,,,,"0",,127.0.0.1,"0","0",,,AINHARP,Nouvelle-Aquitaine,France,64130,43.33664270686286,-1.3590093254162454,,,479923385,ASS ELEVEURS BREBIS LAITIERES,ASSOCIATIONS,Pays Basque intérieur,SOULE XIBEROA,UTD Basse Navarre et Soule,,,"0",,,,
6135,ARTALDEKERIA,artaldekeria,publish,,,,"0",,127.0.0.1,"0","0",,,AINHARP,Nouvelle-Aquitaine,France,64130,43.29040439326678,-1.2077596952681189,,,508977568,ARTALDEKERIA,ASSOCIATIONS,Pays Basque intérieur,SOULE XIBEROA,UTD Basse Navarre et Soule,,,"0",,,,
6136,SOCIETE COOPERATIVE AGRICOLE AMATIK,societe cooperative agricole amatik,publish,,,,"0",,127.0.0.1,"0","0",,,AINHARP,Nouvelle-Aquitaine,France,64130,43.28486381497155,-1.4274987535400765,,,517939922,SOCIETE COOPERATIVE AGRICOLE AMATIK,COOPERATIVES,Pays Basque intérieur,SOULE XIBEROA,UTD Basse Navarre et Soule,,,"0",,,,
6137,A.P.E. BENEN GUSTIA,a.p.e. benen gustia,publish,,,,"0",,127.0.0.1,"0","0",,,AINHICE-MONGELOS,Nouvelle-Aquitaine,France,64220,43.44768372823591,-1.3942651054658213,,,390204659,A.P.E. BENEN GUSTIA,ASSOCIATIONS,Pays Basque intérieur,GARAZI BAIGORRY,UTD Basse Navarre et Soule,,,"0",,,,
6138,ASSOCIATION FORMATION ET INFORMATION,association formation et information,publish,,,,"0",,127.0.0.1,"0","0",,,AINHICE-MONGELOS,Nouvelle-Aquitaine,France,64220,43.38758505273433,-1.6559898423546817,,,393238787,ASSOCIATION FORMATION ET INFORMATION,ASSOCIATIONS,Pays Basque intérieur,GARAZI BAIGORRY,UTD Basse Navarre et Soule,,,"0",,,,
6139,GROUPEMENT D EMPLOYEURS PARTXUER,groupement d employeurs partxuer,publish,,,,"0",,127.0.0.1,"0","0",,,AINHICE-MONGELOS,Nouvelle-Aquitaine,France,64220,43.067290022151084,-1.1391247547204257,,,420392607,GROUPEMENT D EMPLOYEURS PARTXUER,ASSOCIATIONS,Pays Basque intérieur,GARAZI BAIGORRY,UTD Basse Navarre et Soule,,,"0",,,,
6140,ACCUEIL PAYSAN BEARN PAYS BASQUE,accueil paysan bearn pays basque,publish,,,,"0",,127.0.0.1,"0","0",,,AINHICE-MONGELOS,Nouvelle-Aquitaine,France,64220,43.240055002762006,-1.326809052883534,,,438235707,ACCUEIL PAYSAN BEARN PAYS BASQUE,ASSOCIATIONS,Pays Basque intérieur,GARAZI BAIGORRY,UTD Basse Navarre et Soule,,,"0",,,,
6141,GROUPEMENT D'EMPLOYEURS TRUKATUZ,groupement demployeurs trukatuz,publish,,,,"0",,127.0.0.1,"0","0",,,AINHICE-MONGELOS,Nouvelle-Aquitaine,France,64220,43.43993876028257,-1.4916437790717438,,,438275547,GROUPEMENT D'EMPLOYEURS TRUKATUZ,ASSOCIATIONS,Pays Basque intérieur,GARAZI BAIGORRY,UTD Basse Navarre et Soule,,,"0",,,,
6142,EUSKAL HERRIKO LABORANTZA GANBARA,euskal herriko laborantza ganbara,publish,,,,"0",,127.0.0.1,"0","0",,,AINHICE-MONGELOS,Nouvelle-Aquitaine,France,64220,43.21025917309596,-1.0495645879582725,,,481611135,EUSKAL HERRIKO LABORANTZA GANBARA,ASSOCIATIONS,Pays Basque intérieur,GARAZI BAIGORRY,UTD Basse Navarre et Soule,,,"0",,,,
6143,ESKUALDUN GAZTERIA,eskualdun gazteria,publish,,,,"0",,127.0.0.1,"0","0",,,AINHICE-MONGELOS,Nouvelle-Aquitaine,France,64220,43.04893014394662,-1.038706791539346,,,511997231,ESKUALDUN GAZTERIA,ASSOCIATIONS,Pays Basque intérieur,GARAZI BAIGORRY,UTD Basse Navarre et Soule,,,"0",,,,
6144,GESTION ADMINISTRATIVE COMMERCIALE PHOTOGRAPHIE,gestion administrative commerciale photographie,publish,,,,"0",,127.0.0.1,"0","0",,,AINHICE-MONGELOS,Nouvelle-Aquitaine,France,64220,43.09773366467977,-1.216452766407298,,,533028981,GESTION ADMINISTRATIVE COMMERCIALE PHOTOGRAPHIE,ASSOCIATIONS,Pays Basque intérieur,GARAZI BAIGORRY,UTD Basse Navarre et Soule,,,"0",,,,
6145,HERRIKO HARAGIA,herriko haragia,publish,,,,"0",,127.0.0.1,"0","0",,,AINHICE-MONGELOS,Nouvelle-Aquitaine,France,64220,43.33115009843418,-1.4748679435459189,,,800033565,HERRIKO HARAGIA,ASSOCIATIONS,Pays Basque intérieur,GARAZI BAIGORRY,UTD Basse Navarre et Soule,,,"0",,,,
